# gpstime BSN BCI f_mean f_median hrss_mean hrss_median Q_mean Q_median
1.132784103380000114e+09 9.877216000000000662e+00 5.192000000000000171e+00 3.228001113504789146e+02 3.222764721185220083e+02 4.487528226565560703e-23 4.262945565014667441e-23 4.929421507496818400e+00 4.788858177992610266e+00
1.135230771289999962e+09 9.410911000000000470e+00 1.681000000000000050e+00 4.766610755105306225e+02 4.763712739417804869e+02 5.441239104971386085e-23 5.110235318516118869e-23 1.960473476048743890e+01 1.764654587014805287e+01
1.135242289150000095e+09 9.283023000000000025e+00 3.402000000000000135e+00 3.796952167034627905e+02 3.793905092780070163e+02 5.329518468312741927e-23 4.938528282797933030e-23 1.734652495496326097e+01 1.468409940401920011e+01
1.135534578829999924e+09 9.073719999999999786e+00 4.139999999999999680e+00 1.429146370575743390e+02 1.426781222336450128e+02 4.581859755403329119e-23 4.327210761889906366e-23 8.503487923016930239e+00 7.885800959280819811e+00
1.135557479940000057e+09 1.011166099999999979e+01 6.567000000000000171e+00 6.855653921084749527e+02 6.844915090159370266e+02 9.451564276971945462e-23 9.136555084331387890e-23 5.845854163312276697e+00 5.678033865149790138e+00
1.135696999289999962e+09 8.727873000000000658e+00 5.500000000000000000e+00 3.130517742999633128e+02 3.162297523924589768e+02 5.040365111573603255e-23 4.828187653630251533e-23 3.352612450664215871e+00 3.202976485250749850e+00
1.135744180119999886e+09 1.585312999999999972e+00 1.028999999999999915e+00 8.492797798793984612e+02 9.359161816162934429e+02 4.821137851883164920e-23 4.428754466911748422e-23 4.121630765759834247e+01 3.233316823626120140e+01
1.135819982049999952e+09 5.413171000000000177e+00 6.199999999999999956e-01 5.345508918540106151e+02 5.337630772188730361e+02 7.852605735500209082e-23 7.843370195571221295e-23 4.036432337700215811e+00 3.229366041133499898e+00
1.135833690019999981e+09 7.363652000000000086e+00 3.819999999999999840e+00 1.050158278381414618e+02 1.044799216498959993e+02 4.546660164609357906e-23 4.333318692702611987e-23 1.184734537106643693e+01 1.130292304590309982e+01
1.135927724789999962e+09 8.327320000000000277e+00 2.310000000000000053e+00 7.898432168806725713e+02 7.897699346205495203e+02 8.306314420032853424e-23 7.740526027184430280e-23 5.613442021048830100e+01 5.408030934302040293e+01
1.135970055319999933e+09 7.041554999999999787e+00 4.067999999999999616e+00 2.794637842942128714e+02 2.782065260042204500e+02 4.758821974946065828e-23 4.486016607448343528e-23 1.317663651743449904e+01 1.220317627954795014e+01
1.126092370759999990e+09 7.334801999999999822e+00 3.192000000000000171e+00 2.205071205153797678e+02 2.204043480478460140e+02 4.322838498204046682e-23 4.105612666853852130e-23 2.347784500065591118e+01 2.211558076416909913e+01
1.126755542430000067e+09 7.709342000000000361e+00 2.809000000000000163e+00 5.364296638157979942e+02 5.365312092567769469e+02 8.107243049643494141e-23 7.828577939627781538e-23 1.066574176941853658e+01 1.004242867859294996e+01
1.127031546630000114e+09 8.233432999999999780e+00 3.902000000000000135e+00 1.566227412730264916e+02 1.569430480784744759e+02 5.545157663431781304e-23 5.439571339129524946e-23 4.697469769044074539e+00 4.122584710176059986e+00
1.127037587009999990e+09 7.564664999999999750e+00 3.044000000000000039e+00 1.575159349179625679e+02 1.560581208558749893e+02 6.486058648939570127e-23 6.438650859438518100e-23 9.164921497166465869e+00 6.853543460642190333e+00
1.127095833660000086e+09 8.703649999999999665e+00 4.474999999999999645e+00 2.130145250601463545e+02 2.128868516602134946e+02 4.706273635779156388e-23 4.573326369980490379e-23 1.153755831034759005e+01 1.131486656467420104e+01
1.127191820880000114e+09 1.189382999999999946e+01 5.073000000000000398e+00 3.100556872213471706e+02 3.100303682450049791e+02 6.926373475854047206e-23 6.379774001520709815e-23 6.762017257052325192e+01 6.648056818978349725e+01
1.127482789619999886e+09 1.317586400000000069e+01 7.221000000000000085e+00 4.530314110820451674e+02 4.532442794519740232e+02 5.983729345132842679e-23 5.617524250394284165e-23 1.558858268685588477e+01 1.434425711096040068e+01
1.127650866480000019e+09 8.091075999999999269e+00 3.124000000000000110e+00 2.282886944163666954e+02 2.280438622764785066e+02 4.350103396001382166e-23 3.852941182708983125e-23 1.305470548088104898e+01 1.286119793213195095e+01
1.127707085539999962e+09 6.069543000000000355e+00 3.849000000000000199e+00 4.747849222162265619e+02 4.746536328120250232e+02 5.272929327662671086e-23 4.913366368807420147e-23 8.514581760927036669e+01 8.655329533077589588e+01
1.128256469559999943e+09 1.116932899999999940e+01 3.944999999999999840e+00 7.651081853724754183e+02 7.625682857116780724e+02 7.458522091453778493e-23 7.343005566919962394e-23 6.106340964751296063e+00 5.973142251915845691e+00
1.128332819480000019e+09 7.462490999999999985e+00 4.916000000000000369e+00 3.929349083331413794e+02 3.921409958889020118e+02 4.999693573050014831e-23 4.752337001465689421e-23 1.652139143146452582e+01 1.595392798895910147e+01
1.128689817180000067e+09 6.590778000000000247e+00 3.476999999999999869e+00 1.761767164944610045e+02 1.748589961311654974e+02 4.339030969159889662e-23 4.177333866925954568e-23 7.346721425981695752e+00 6.608642020166190179e+00
1.128775063039999962e+09 1.243100500000000075e+01 8.208999999999999631e+00 2.012926750547322570e+02 2.014424655751075193e+02 4.201119870502534127e-23 4.052891542433924097e-23 4.841354330412865004e+00 4.762294587380134558e+00
